Brand: ,Model: ,Model year: ,Condition: ,Transmission: ,Fuel type: ,Engine capacity: ,Mileage: 
Mazda,Singha Muna Van /Sk,2006,Used,,,,"123,654 km"
Suzuki,Every buddy,2000,Used,,,,"250,000 km"
Toyota,LH20 4Door,1981,Used,,,,"258,741 km"
Mahindra,Maximo,2011,Used,,,,"125,000 km"
Toyota,Dyna,1996,Used,,,,"125,000 km"
Nissan,Crew cub,2001,Used,,,,"186,000 km"
Ashok Leyland,Tipper,2014,Used,,,,"102,786 km"
,,,,,,,
Isuzu,ELF,1993,Used,,,,"220,000 km"
,,,,,,,
Mitsubishi,L300,1982,Used,,,,"397,688 km"
Nissan,BINGO VANETTE,1994,Reconditioned,,,,"214,000 km"
Tata,LPT 709 EX2,2010,Used,,,,"96,232 km"
Suzuki,-20 freezar ,2011,Used,,,,"157,000 km"
Nissan,Vanette,1984,Used,,,,"250,000 km"
Ashok Leyland,Viking Bus,2018,Used,,,,"72,000 km"
Suzuki,Every Join ,2018,New,,,,"12,000 km"
Toyota,Hiace SUPER GL 201,2015,New,,,,"60,000 km"
Nissan,Caravan VX,1999,Reconditioned,,,,"150,000 km"
Isuzu,Freezer Feet 16.5,2013,Reconditioned,,,,"95,000 km"
Tata,XENON,2014,Used,,,,"41,000 km"
Toyota,Hiace Super GL KDH,2015,Used,,,,"45,000 km"
,,,,,,,
,,,,,,,
Ashok Leyland,1613 Cargo,2011,Reconditioned,,,,"90,000 km"
Isuzu,Freezer 14 1/2,2008,Used,,,,"180,000 km"
,,,,,,,
Isuzu,Tipper Dump Truck,2006,Used,,,,"105,000 km"
Suzuki,Carry,2002,Used,,,,"141,786 km"
,,,,,,,
Toyota,Townace Van,2015,Used,,,,"194,000 km"
Mahindra,bolero,2016,Used,,,,"160,000 km"
Toyota,Coaster,2007,Reconditioned,,,,"100,000 km"
,,,,,,,
Toyota,KDH 200 GL,2006,Used,,,,"17,000 km"
,,,,,,,
Isuzu,ELF FREEZER TRUCK,2013,Reconditioned,,,,"211,000 km"
Suzuki,Motor Lorry,1999,Used,,,,"78,000 km"
,,,,,,,
Suzuki,Every,2015,Used,,,,"78,251 km"
Kia,Sorento,2011,Used,Automatic,Petrol,"2,350 cc","119,000 km"
Hino,PROFIA 7cube Tippr,2007,Used,,,,"140,000 km"
,,,,,,,
,,,,,,,
Toyota,Prius,2014,Used,Automatic,Hybrid,"1,800 cc","87,500 km"
Toyota,Corsa,1998,Used,Automatic,Petrol,"1,500 cc","210,000 km"
Toyota,Allion,2018,Reconditioned,Automatic,Petrol,"1,500 cc","9,185 km"
,,,,,,,
,,,,,,,
Toyota,Premio,2010,Used,Automatic,Petrol,"1,500 cc","114,000 km"
Toyota,Premio,2017,Used,Automatic,Petrol,"1,500 cc","57,000 km"
Toyota,KDH GDH 223B Diesel,2018,Used,,,,"48,435 km"
,,,,,,,
,,,,,,,
Toyota,Land Cruiser Prado,2015,Used,Automatic,Diesel,"2,800 cc","47,000 km"
Toyota,Prius,2013,Used,Automatic,Petrol,"1,800 cc","56,331 km"
,,,,,,,
Suzuki,Alto,2015,Reconditioned,Automatic,Petrol,650 cc,"26,852 km"
Suzuki,Wagon R,2018,Used,Automatic,Petrol,650 cc,"42,512 km"
Land Rover,Discovery,2019,Used,Automatic,Diesel,"2,000 cc","11,000 km"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Toyota,Land Cruiser Sahara,2019,Used,Automatic,Diesel,"4,461 cc","30,000 km"
Honda,Fit,2013,Used,Automatic,"Petrol, Hybrid","1,500 cc","59,000 km"
Mercedes Benz,Other Model,2020,Used,Tiptronic,Petrol,"1,332 cc","5,500 km"
,,,,,,,
Toyota,Land Cruiser Prado,2015,Used,Automatic,Petrol,"2,700 cc","89,000 km"
Toyota,Land Cruiser Prado,2020,New,Automatic,Petrol,"2,700 cc",400 km
,,,,,,,
Toyota,Vitz,2016,Used,Automatic,Petrol,990 cc,"71,600 km"
,,,,,,,
,,,,,,,
,,,,,,,
Honda,Vezel,2018,Used,Automatic,"Petrol, Hybrid","1,500 cc","43,000 km"
,,,,,,,
Toyota,Tank,2017,Reconditioned,Automatic,Petrol,"1,000 cc","19,865 km"
Land Rover,Range Rover,2019,Used,Automatic,"Petrol, Hybrid, Electric","2,000 cc","5,000 km"
Toyota,Aqua,2015,Used,Automatic,"Petrol, Hybrid","1,500 cc","92,000 km"
